session_time_h,change_index,run
7.166666666666667,80.84867631250124,S010 excluded pilot
7.25,80.92659086110486,S010 excluded pilot
7.333333333333333,82.21747859073967,S010 excluded pilot
7.416666666666667,81.33476023454756,S010 excluded pilot
7.5,80.68267978754746,S010 excluded pilot
7.583333333333333,80.23683611798897,S010 excluded pilot
7.666666666666667,79.30647894221947,S010 excluded pilot
7.75,79.80790216586449,S010 excluded pilot
7.833333333333333,78.9604338469723,S010 excluded pilot
7.916666666666667,79.13653732291422,S010 excluded pilot
8.0,79.47381742046183,S010 excluded pilot
0.0,0.0737444073170834,S012 confirmation 1
0.0833333333333333,0.0334999206119152,S012 confirmation 1
0.1666666666666666,0.0170085676993976,S012 confirmation 1
0.25,0.2738929290407267,S012 confirmation 1
0.3333333333333333,0.639216468091869,S012 confirmation 1
0.4166666666666667,1.1100342807618897,S012 confirmation 1
0.5,1.0940780057480213,S012 confirmation 1
0.5833333333333334,0.8041319115508303,S012 confirmation 1
0.6666666666666666,0.7421838126519239,S012 confirmation 1
0.75,0.8253551931142531,S012 confirmation 1
0.8333333333333334,1.0437493153592774,S012 confirmation 1
0.9166666666666666,1.024610633736314,S012 confirmation 1
1.0,1.011460601810979,S012 confirmation 1
1.0833333333333333,1.5499570189130292,S012 confirmation 1
1.1666666666666667,1.9918462432824875,S012 confirmation 1
1.25,2.146409492556839,S012 confirmation 1
1.3333333333333333,3.021148199526749,S012 confirmation 1
1.4166666666666667,3.0785522027457675,S012 confirmation 1
1.5,3.341544705505556,S012 confirmation 1
1.5833333333333333,3.4336182782056373,S012 confirmation 1
1.6666666666666667,3.481473954028216,S012 confirmation 1
1.75,3.702634527288704,S012 confirmation 1
1.8333333333333333,3.796476008296609,S012 confirmation 1
1.9166666666666667,3.791120595392045,S012 confirmation 1
2.0,3.940412108141174,S012 confirmation 1
2.083333333333333,4.030830571848767,S012 confirmation 1
2.1666666666666665,4.712641707020936,S012 confirmation 1
2.25,4.734737633211727,S012 confirmation 1
2.333333333333333,4.973270710049505,S012 confirmation 1
